_id,name,slug,description,category,subcategory,price,discount_price,currency,image_url,gallery_images[0],gallery_images[1],is_available,is_veg,is_featured,is_trending,is_special,rating,rating_count,preparation_time,stock_quantity,calories,tags[0],tags[1],ingredients[0],ingredients[1],ingredients[2],created_at,updated_at,allergens[0],allergens[1]
6a033bda4b50de809d0702b6,Classic Veg Burger 1,classic-veg-burger-1,Served hot and tasty.,snacks,burger,118,118,INR,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1550547660-d9450f859349?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1571091718767-18b5b1457add?q=80&w=600&auto=format&fit=crop,true,true,false,true,true,3.9,1039,23,30,759,fresh,best seller,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485007,2026-05-12T14:37:28.485016,,
6a033bda4b50de809d0702b7,Chicken Burger 2,chicken-burger-2,Rich flavor and satisfying taste.,snacks,burger,86,76,INR,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1550547660-d9450f859349?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1571091718767-18b5b1457add?q=80&w=600&auto=format&fit=crop,true,false,true,false,false,4.5,753,15,52,343,cheesy,popular,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485087,2026-05-12T14:37:28.485090,,
6a033bda4b50de809d0702b8,Paneer Wrap 3,paneer-wrap-3,Perfect for your cravings.,snacks,wrap,96,76,INR,https://images.unsplash.com/photo-1562059390-a761a084768e?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1509722747041-616f39b57569?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1498837167922-ddd27525d352?q=80&w=600&auto=format&fit=crop,true,true,true,true,false,4.1,228,23,12,880,best seller,fresh,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485128,2026-05-12T14:37:28.485130,,
6a033bda4b50de809d0702b9,Chicken Wrap 4,chicken-wrap-4,Freshly prepared and delicious.,snacks,wrap,84,64,INR,https://images.unsplash.com/photo-1562059390-a761a084768e?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1509722747041-616f39b57569?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1498837167922-ddd27525d352?q=80&w=600&auto=format&fit=crop,true,false,true,true,false,4.8,545,20,13,379,spicy,cheesy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485174,2026-05-12T14:37:28.485176,Milk,Gluten
6a033bda4b50de809d0702ba,French Fries 5,french-fries-5,Freshly prepared and delicious.,snacks,fries,163,163,INR,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1576107232684-1279f390859f?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1585109649139-366815a0d713?q=80&w=600&auto=format&fit=crop,true,true,true,true,false,4.6,929,7,95,617,fresh,cheesy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485204,2026-05-12T14:37:28.485206,,
6a033bda4b50de809d0702bb,Peri Peri Fries 6,peri-peri-fries-6,Perfect for your cravings.,snacks,fries,166,156,INR,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1576107232684-1279f390859f?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1585109649139-366815a0d713?q=80&w=600&auto=format&fit=crop,true,true,false,true,true,4.2,25,13,81,208,cheesy,spicy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485241,2026-05-12T14:37:28.485243,,
6a033bda4b50de809d0702bc,Veg Sandwich 7,veg-sandwich-7,Rich flavor and satisfying taste.,snacks,sandwich,164,164,INR,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1553909489-cd47e0907980?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=600&auto=format&fit=crop,true,true,false,false,true,4.4,1063,8,35,733,fresh,spicy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485270,2026-05-12T14:37:28.485272,,
6a033bda4b50de809d0702bd,Club Sandwich 8,club-sandwich-8,Freshly prepared and delicious.,snacks,sandwich,112,112,INR,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1553909489-cd47e0907980?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=600&auto=format&fit=crop,true,false,true,true,false,4.5,232,15,80,805,best seller,cheesy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485320,2026-05-12T14:37:28.485323,,
6a033bda4b50de809d0702be,Cheese Garlic Bread 9,cheese-garlic-bread-9,Freshly prepared and delicious.,snacks,bread,165,165,INR,https://images.unsplash.com/photo-1573140247632-f8fd74997d5c?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1544982503-9f984c14501a?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1619535860434-ba1d8fa12536?q=80&w=600&auto=format&fit=crop,true,true,true,false,false,4.7,1423,25,75,584,popular,spicy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485353,2026-05-12T14:37:28.485355,Milk,Gluten
6a033bda4b50de809d0702bf,Chicken Nuggets 10,chicken-nuggets-10,Freshly prepared and delicious.,snacks,fried chicken,162,132,INR,https://images.unsplash.com/photo-1562967914-608f82629710?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1569058242253-92a9c755a0ec?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?q=80&w=600&auto=format&fit=crop,true,false,true,true,true,4.5,1345,30,67,778,best seller,crispy,Cheese,Sauce,Vegetables,2026-05-12T14:37:28.485395,2026-05-12T14:37:28.485398,Milk,Gluten
